Date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,V,BAC
2025-01-13,233.83592224121094,415.5921936035156,218.4600067138672,190.5595703125,607.322021484375,403.30999755859375,133.20849609375,241.55128479003906,305.89642333984375,44.51509475708008
2025-01-14,232.71861267089844,414.0780334472656,217.75999450683594,189.21275329589844,593.2653198242188,396.3599853515625,131.7387237548828,244.77578735351562,308.05914306640625,45.22639083862305
2025-01-15,237.2975616455078,424.67724609375,223.35000610351562,195.0888671875,616.097412109375,428.2200012207031,136.218017578125,249.6026611328125,315.22515869140625,46.530426025390625
2025-01-16,227.710693359375,422.953857421875,220.66000366210938,192.45509338378906,610.2869873046875,413.82000732421875,133.54844665527344,251.50177001953125,316.19195556640625,46.07598876953125
2025-01-17,229.4265594482422,427.3868408203125,225.94000244140625,195.5377960205078,611.754638671875,426.5,137.68777465820312,256.3385314941406,318.5540466308594,45.96731948852539
2025-01-21,222.10421752929688,426.85888671875,230.7100067138672,197.58297729492188,615.4385375976562,424.07000732421875,140.80726623535156,260.1663818359375,322.5506591796875,46.09574890136719
2025-01-22,223.29136657714844,444.4910888671875,235.00999450683594,197.9022216796875,622.4668579101562,415.1099853515625,147.04627990722656,259.97845458984375,322.48089599609375,45.23626708984375
2025-01-23,223.1217803955078,444.9991149902344,235.4199981689453,197.5131378173828,635.3953857421875,412.3800048828125,147.1962432861328,263.05462646484375,327.1153869628906,45.82901382446289
2025-01-24,222.24388122558594,442.3592834472656,234.85000610351562,199.73788452148438,646.4170532226562,406.5799865722656,142.5969696044922,261.9566650390625,329.0987548828125,45.95743942260742
2025-01-27,229.30685424804688,432.8956604003906,235.4199981689453,191.35768127441406,658.7865600585938,397.1499938964844,118.40088653564453,262.9557189941406,333.4242858886719,46.520545959472656
2025-01-28,237.68663024902344,445.4872741699219,238.14999389648438,194.83946228027344,673.2125854492188,398.0899963378906,128.9691925048828,264.2316589355469,333.364501953125,46.2735710144043
2025-01-29,238.7839813232422,440.6358947753906,237.07000732421875,194.94920349121094,675.3690185546875,389.1000061035156,123.6800308227539,263.677734375,334.75982666015625,46.18465805053711
2025-01-30,237.0182342529297,413.4006042480469,234.63999938964844,200.3963165283203,685.8616333007812,400.2799987792969,124.62987518310547,265.3097839355469,341.9058837890625,46.15502166748047
2025-01-31,235.4320831298828,413.4703369140625,237.67999267578125,203.53890991210938,688.0379638671875,404.6000061035156,120.05062103271484,264.389892578125,340.6600646972656,45.7401008605957
2025-02-03,227.46128845214844,409.3462219238281,237.4199981689453,200.75546264648438,696.3043212890625,383.67999267578125,116.64117431640625,263.9052429199219,344.66668701171875,45.651187896728516
2025-02-04,232.23977661132812,410.7906494140625,242.05999755859375,205.89334106445312,703.0231323242188,392.2099914550781,118.63085174560547,265.0229187011719,343.9989013671875,46.1451416015625
2025-02-05,231.91058349609375,411.7071228027344,236.1699981689453,190.8788299560547,703.7020263671875,378.1700134277344,124.80985260009766,267.48583984375,348.27459716796875,46.540306091308594
2025-02-06,232.6587677001953,414.2274475097656,238.8300018310547,191.148193359375,710.8101806640625,374.32000732421875,128.65921020507812,273.8853759765625,346.3211364746094,47.16268539428711
2025-02-07,227.08221435546875,408.1806945800781,229.14999389648438,184.90293884277344,713.3359985351562,361.6199951171875,129.81903076171875,272.79736328125,346.85931396484375,46.82679748535156
2025-02-10,227.3518524169922,410.6412048339844,233.13999938964844,186.03028869628906,716.2112426757812,350.7300109863281,133.54844665527344,268.08917236328125,350.05865478515625,46.105621337890625
2025-02-11,232.3153533935547,409.86419677734375,232.75999450683594,184.8830108642578,718.6072387695312,328.5,132.77857971191406,271.9961853027344,350.13848876953125,46.22417449951172
2025-02-12,236.55978393554688,407.473388671875,228.92999267578125,183.17703247070312,724.1780395507812,336.510009765625,131.11883544921875,272.4512023925781,350.9072265625,45.651187896728516
2025-02-13,241.21368408203125,408.9676513671875,230.3699951171875,185.70106506347656,727.352783203125,355.94000244140625,135.26815795898438,273.31170654296875,355.0403747558594,45.769737243652344
2025-02-14,244.2796630859375,406.86572265625,228.67999267578125,184.79319763183594,735.4493408203125,355.8399963378906,138.8275909423828,273.5787658691406,353.2233581542969,46.392120361328125
2025-02-18,244.14984130859375,408.07110595703125,226.64999389648438,183.33663940429688,715.1829223632812,354.1099853515625,139.37750244140625,276.9021911621094,356.1385498046875,45.96731948852539
2025-02-19,244.54930114746094,413.1814270019531,226.6300048828125,184.83311462402344,702.6038818359375,360.55999755859375,139.20751953125,276.2098083496094,354.6410217285156,45.45360565185547
2025-02-20,245.508056640625,415.3674621582031,222.8800048828125,184.12478637695312,693.6886596679688,354.3999938964844,140.08738708496094,263.89532470703125,349.90887451171875,44.752193450927734
2025-02-21,245.22842407226562,407.4619445800781,216.5800018310547,179.23634338378906,682.4172973632812,337.79998779296875,134.40829467773438,261.36322021484375,347.9521179199219,44.26811981201172
2025-02-24,246.77639770507812,403.2596740722656,212.7100067138672,178.82730102539062,667.0228881835938,330.5299987792969,130.25897216796875,258.4947814941406,349.2799072265625,43.9223518371582
2025-02-25,246.71646118164062,397.17083740234375,212.8000030517578,175.00633239746094,656.4105224609375,302.79998779296875,126.60955810546875,254.59767150878906,351.5062255859375,43.40863800048828
2025-02-26,240.0452117919922,398.99749755859375,214.35000610351562,172.3226776123047,672.5836791992188,290.79998779296875,131.25881958007812,255.97256469726562,350.04864501953125,43.40863800048828
2025-02-27,236.98922729492188,391.8106994628906,208.74000549316406,168.1026611328125,657.1492919921875,281.95001220703125,120.13060760498047,256.2297058105469,355.1501770019531,43.58646011352539
2025-02-28,241.5232696533203,396.26251220703125,212.27999877929688,169.87844848632812,667.0927734375,292.9800109863281,124.89983367919922,261.76873779296875,362.1086120605469,45.54251480102539
2025-03-03,237.71826171875,387.778076171875,205.02000427246094,166.6161651611328,653.9645385742188,284.6499938964844,114.04158782958984,257.7826232910156,361.2200927734375,45.00904846191406
2025-03-04,235.6210174560547,387.8978576660156,203.8000030517578,170.51695251464844,638.939453125,272.0400085449219,115.97127532958984,247.52552795410156,351.64599609375,42.153995513916016
